ticker,company_name,sector
AAPL,Apple Inc,Technology
MSFT,Microsoft Corporation,Technology
GOOGL,Alphabet Inc,Technology
NVDA,NVIDIA Corporation,Technology
META,Meta Platforms Inc,Technology
JPM,JPMorgan Chase & Co,Financials
GS,Goldman Sachs Group Inc,Financials
V,Visa Inc,Financials
BAC,Bank of America Corp,Financials
BRK-B,Berkshire Hathaway Inc,Financials
JNJ,Johnson & Johnson,Healthcare
UNH,UnitedHealth Group Inc,Healthcare
PFE,Pfizer Inc,Healthcare
ABBV,AbbVie Inc,Healthcare
MRK,Merck & Co Inc,Healthcare
XOM,Exxon Mobil Corporation,Energy
CVX,Chevron Corporation,Energy
COP,ConocoPhillips,Energy
SLB,Schlumberger NV,Energy
EOG,EOG Resources Inc,Energy
AMZN,Amazon.com Inc,Consumer Discretionary
TSLA,Tesla Inc,Consumer Discretionary
HD,Home Depot Inc,Consumer Discretionary
MCD,McDonalds Corporation,Consumer Discretionary
NKE,Nike Inc,Consumer Discretionary
PG,Procter & Gamble Co,Consumer Staples
KO,Coca-Cola Company,Consumer Staples
PEP,PepsiCo Inc,Consumer Staples
COST,Costco Wholesale Corp,Consumer Staples
WMT,Walmart Inc,Consumer Staples